number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.7764762734030383,2026-05-25 09:56:50.563392,2026-05-25 09:56:54.400183,0 days 00:00:03.836791,0.7993292420985183,1,0.8659969709057025,0.17254716573280354,35,106,3.3323645788192616e-08,0.6245760287469893,COMPLETE
1,0.7797065842297508,2026-05-25 09:56:54.400183,2026-05-25 09:56:59.069149,0 days 00:00:04.668966,0.9849549260809971,9,0.5102922471479012,0.08341106432362087,46,160,4.329370014459266e-07,4.4734294104626844e-07,COMPLETE
2,0.7817966069915407,2026-05-25 09:56:59.070652,2026-05-25 09:57:03.625071,0 days 00:00:04.554419,0.645614570099021,6,0.7159725093210578,0.048164145309070844,32,89,4.258943089524393e-06,1.9826980964985924e-05,COMPLETE
3,0.7771414880941244,2026-05-25 09:57:03.625071,2026-05-25 09:57:10.874257,0 days 00:00:07.249186,0.7571172192068059,6,0.5998368910791798,0.10508421338691762,14,125,0.0029369981104377003,3.425445902633376e-07,COMPLETE
4,0.7822685946632599,2026-05-25 09:57:10.876264,2026-05-25 09:57:14.733592,0 days 00:00:03.857328,0.9041986740582306,3,0.9828160165372797,0.17160445029754812,24,31,0.014391207615728067,9.148975058772307e-05,COMPLETE
